id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1178579,2024-03-04,000001,Vente,200000,9,,PL DE LA VICTOIRE,0760,97110,97120,Pointe-à-Pitre,971,,,97120000AL0274,,,3,,,,,,,,,,1,2,Appartement,64,3,,,,,,-61.533393,16.237137
2024-1178579,2024-03-04,000001,Vente,200000,9,,PL DE LA VICTOIRE,0760,97110,97120,Pointe-à-Pitre,971,,,97120000AL0274,,,4,,,,,,,,,,1,2,Appartement,64,3,,,,,,-61.533393,16.237137
2024-1178579,2024-03-04,000001,Vente,200000,9,,PL DE LA VICTOIRE,0760,97110,97120,Pointe-à-Pitre,971,,,97120000AL0274,,,2,,,,,,,,,,1,2,Appartement,64,3,,,,,,-61.533393,16.237137
2024-1178579,2024-03-04,000001,Vente,200000,9,,PL DE LA VICTOIRE,0760,97110,97120,Pointe-à-Pitre,971,,,97120000AL0274,,,1,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,88,0,,,,,,-61.533393,16.237137
2024-1178580,2024-04-18,000001,Vente,148000,52,,RES MADININA,A123,97110,97120,Pointe-à-Pitre,971,,,97120000AB0149,,,42,,,,,,,,,,1,2,Appartement,106,5,,,,,,-61.542898,16.24695
2024-1178628,2024-04-30,000001,Vente,50000,56,,RUE DE L ABBE GREGOIRE,0010,97110,97120,Pointe-à-Pitre,971,,,97120000AH0324,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,84,0,S,sols,,,94,-61.537875,16.240547
2024-1178638,2024-04-24,000001,Vente,114150,43,B,RUE DE L ABBE GREGOIRE,0010,97110,97120,Pointe-à-Pitre,971,,,97120000AH0025,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,28,0,S,sols,,,33,-61.537176,16.240587
2024-1178654,2024-04-23,000001,Vente,162900,,,RES VITALINE BOISNEUF,A207,97110,97120,Pointe-à-Pitre,971,,,97120000AM0502,,,38,,,,,,,,,,1,2,Appartement,103,6,,,,,,-61.533547,16.240436
2024-1178786,2024-05-22,000001,Vente,67000,8001,,RES ESPACE 2000,A053,97110,97120,Pointe-à-Pitre,971,,,97120000AD0053,,,73,,,,,,,,,,1,2,Appartement,72,4,,,,,,-61.53697,16.241721
2024-1178816,2024-05-17,000001,Vente,60000,39,,RUE DE L ABBE GREGOIRE,0010,97110,97120,Pointe-à-Pitre,971,,,97120000AH0028,,,9,,,,,,,,,,1,2,Appartement,46,2,,,,,,-61.537024,16.240593
2024-1178882,2024-05-15,000001,Vente,78000,44,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AI0164,,,6,,,,,,,,,,1,2,Appartement,55,2,,,,,,-61.536958,16.237831
2024-1178979,2024-06-03,000001,Vente,50000,8,,RUE DE NASSAU,0610,97110,97120,Pointe-à-Pitre,971,,,97120000AH0357,,,,,,,,,,,,,0,,,,,S,sols,,,93,-61.537764,16.239524
2024-1178997,2024-06-12,000001,Vente,7000,8001,,QUAI GATINE,0430,97110,97120,Pointe-à-Pitre,971,,,97120000AO0318,,,135,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.533732,16.235602
